Symbol,Date,Open,High,Low,Close,Adj Close,Volume
HINDUNILVR,14-03-2023,2462,2472,2439.75,2442.449951,2422.66333,1250763
HINDUNILVR,15-03-2023,2451.899902,2459.5,2393,2406.100098,2386.60791,1738040
HINDUNILVR,16-03-2023,2424.949951,2469.300049,2407.75,2459.350098,2439.426514,1628035
HINDUNILVR,17-03-2023,2471.649902,2483.199951,2439.800049,2447.399902,2427.572998,2127178
HINDUNILVR,20-03-2023,2447.399902,2516.649902,2425,2511.199951,2490.856201,1561128
HINDUNILVR,21-03-2023,2515,2523.25,2458.75,2462.600098,2442.650146,1595161
HINDUNILVR,22-03-2023,2472.600098,2481.399902,2454.399902,2476.350098,2456.288818,1063244
HINDUNILVR,23-03-2023,2475,2500.050049,2466,2485.100098,2464.967773,1578627
HINDUNILVR,24-03-2023,2472.199951,2497.899902,2470,2480.800049,2460.702637,1449326
HINDUNILVR,27-03-2023,2485,2505,2464,2499,2478.755127,1387736
HINDUNILVR,28-03-2023,2509.800049,2513.5,2471.899902,2482.800049,2462.686523,1412387
HINDUNILVR,29-03-2023,2485,2539.800049,2480.050049,2530.850098,2510.347168,2613254
HINDUNILVR,31-03-2023,2558.800049,2568.449951,2516.550049,2560.350098,2539.608398,2146167
HINDUNILVR,03-04-2023,2570,2570,2515.050049,2536.100098,2515.554688,918048
HINDUNILVR,05-04-2023,2512.5,2588.550049,2502,2582.75,2561.82666,1489612
HINDUNILVR,06-04-2023,2575,2585,2553,2565.25,2544.468506,797414
HINDUNILVR,10-04-2023,2565.25,2568.949951,2525,2532.149902,2511.636475,853322
HINDUNILVR,11-04-2023,2540,2555,2533,2547.75,2527.110352,913184
HINDUNILVR,12-04-2023,2556,2556,2518.649902,2528.949951,2508.462402,1109809
HINDUNILVR,13-04-2023,2525,2562.350098,2525,2536.199951,2515.653809,1261711
HINDUNILVR,17-04-2023,2573,2579,2541.399902,2551.850098,2531.177246,1566977
HINDUNILVR,18-04-2023,2560,2560,2530,2541.050049,2520.4646,1474786
HINDUNILVR,19-04-2023,2548,2548,2510.25,2531.600098,2511.091309,1320243
HINDUNILVR,20-04-2023,2517.800049,2532.399902,2480,2492.600098,2472.407227,1401364
HINDUNILVR,21-04-2023,2492,2509.5,2485.649902,2497.949951,2477.713623,1206288
HINDUNILVR,24-04-2023,2502,2504.899902,2475.100098,2499.75,2479.499023,1735797
HINDUNILVR,25-04-2023,2490.850098,2499.75,2478.050049,2490.449951,2470.274414,1701098
